"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_twitter_twitter_username"
"node","contributor","0","12","12","und","0","sianharrington"
"node","contributor","0","20","20","und","0","NalinMiglani"
"node","contributor","0","38","38","und","0","D_Hockaday"
"node","contributor","0","40","40","und","0","K_Beaven"
"node","contributor","0","41","41","und","0","eugeniopirri"
"node","contributor","0","42","42","und","0","AndyDodman1"
"node","contributor","0","43","43","und","0","CEC_EDR"
"node","contributor","0","46","46","und","0","DavidFrost7"
"node","brand","0","51","51","und","0","The_GGI"
"node","contributor","0","57","57","und","0","JabbarSardar"
"node","brand","0","68","68","und","0","roffeypark"
"node","contributor","0","77","77","und","0","TeaColaianni"
"node","contributor","0","83","83","und","0","Chris__Roebuck"
"node","brand","0","90","90","und","0","SDWorxUKI"
"node","contributor","0","94","94","und","0","dave_ulrich"
"node","contributor","0","99","99","und","0","malia_adil"
"node","contributor","0","104","104","und","0","CHROWhisperer"
"node","brand","0","112","112","und","0","OUBSchool"
"node","contributor","0","162","162","und","0","SteveTappin"
"node","contributor","0","203","203","und","0","DWayneGwilym"
"node","contributor","0","209","209","und","0","Rob_Briner"
"node","contributor","0","357","357","und","0","professormsrao"
"node","contributor","0","387","387","und","0","XU45750675"
"node","contributor","0","399","399","und","0","TPSHub"
"node","brand","0","411","411","und","0","L3athwaite"
"node","brand","0","546","547","und","0","bizcultureawds"
"node","contributor","0","553","555","und","0","ShakilButt"
"node","brand","0","582","584","und","0","Shoosmiths"
"node","contributor","0","593","595","und","0","ineswichert"
"node","brand","0","783","787","und","0","10Eightycareers"
"node","contributor","0","822","826","und","0","HR_Willem"
"node","brand","0","922","926","und","0","Armstrongcraven"
